section_sequence,section_title,title_line,start_sequence,end_sequence,start_label,end_label,episode_count
1,"버려지다",4,1,3,"ⓚ대망 001화","ⓚ대망 003화",3
2,"첫 거래",594,4,9,"ⓚ대망 004화","ⓚ대망 009화",6
3,"밀수",1334,10,14,"ⓚ대망 010화","ⓚ대망 014화",5
4,"테러Ⅰ",2067,15,19,"ⓚ대망 015화","ⓚ대망 019화",5
5,"테러Ⅱ",2805,20,24,"ⓚ대망 020화","ⓚ대망 024화",5
6,"소환Ⅰ",3524,25,29,"ⓚ대망 025화","ⓚ대망 029화",5
7,"카다피 컬렉션",4360,30,33,"ⓚ대망 030화","ⓚ대망 033화",4
8,"알렉산드리아",5038,34,37,"ⓚ대망 034화","ⓚ대망 037화",4
9,"사막 횡단",5746,38,48,"ⓚ대망 038화","ⓚ대망 048화",11
10,"발레타 특급",7270,49,50,"ⓚ대망 049화","ⓚ대망 050화",2
11,"정킷방",7637,51,55,"ⓚ대망 051화","ⓚ대망 055화",5
12,"설계",8273,56,60,"ⓚ대망 056화","ⓚ대망 060화",5
13,"욕망의 땅 Ⅰ",9126,61,66,"ⓚ대망 061화","ⓚ대망 066화",6
14,"욕망의 땅Ⅱ",10106,67,68,"ⓚ대망 067화","ⓚ대망 068화",2
15,"혼돈",10449,69,72,"ⓚ대망 069화","ⓚ대망 072화",4
16,"시가전",10930,73,78,"ⓚ대망 073화","ⓚ대망 078화",6
17,"급변하는 정세",11837,79,82,"ⓚ대망 079화","ⓚ대망 082화",4
18,"소더비",12463,83,87,"ⓚ대망 083화","ⓚ대망 087화",5
19,"만수르",13173,88,91,"ⓚ대망 088화","ⓚ대망 091화",4
20,"습격",13770,92,97,"ⓚ대망 092화","ⓚ대망 097화",6
21,"하룻밤의 꿈",14636,98,101,"ⓚ대망 098화","ⓚ대망 101화",4
22,"가로채기",15313,102,106,"ⓚ대망 102화","ⓚ대망 106화",5
23,"아테네",15941,107,111,"ⓚ대망 107화","ⓚ대망 111화",5
24,"이주",16717,112,115,"ⓚ대망 112화","ⓚ대망 115화",4
25,"시에라리온",17400,116,121,"ⓚ대망 116화","ⓚ대망 121화",6
26,"블러드 다이아몬드Blood Diamond",18300,122,125,"ⓚ대망 122화","ⓚ대망 125화",4
27,"새로운 거래",18954,126,130,"ⓚ대망 126화","ⓚ대망 130화",5
28,"미스라타 전투Ⅰ",19636,131,135,"ⓚ대망 131화","ⓚ대망 135화",5
29,"미스라타 전투Ⅱ",20315,136,141,"ⓚ대망 136화","ⓚ대망 141화",6
30,"조짐",21219,142,146,"ⓚ대망 142화","ⓚ대망 146화",5
31,"작전Ⅰ",22003,147,151,"ⓚ대망 147화","ⓚ대망 151화",5
32,"작전Ⅱ",22714,152,157,"ⓚ대망 152화","ⓚ대망 157화",6
33,"탐욕의 끝",23552,158,164,"ⓚ대망 158화","ⓚ대망 164화",7
34,"인과응보",24543,165,172,"ⓚ대망 165화","ⓚ대망 172화",8
35,"당한 만큼 돌려준다",25735,173,179,"ⓚ대망 173화","ⓚ대망 179화",7
36,"만인은 법 앞에 평등하다Ⅰ",26659,180,184,"ⓚ대망 180화","ⓚ대망 184화",5
37,"만인은 법 앞에 평등하다Ⅱ",27422,185,190,"ⓚ대망 185화","ⓚ대망 190화",6
38,"정리",28230,191,193,"ⓚ대망 191화","ⓚ대망 193화",3
39,"무기 중개",28651,194,197,"ⓚ대망 194화","ⓚ대망 197화",4
40,"북한 공작원",29181,198,202,"ⓚ대망 198화","ⓚ대망 202화",5
41,"계약",29961,203,209,"ⓚ대망 203화","ⓚ대망 209화",7
42,"PMCⅠ",30965,210,215,"ⓚ대망 210화","ⓚ대망 215화",6
43,"PMCⅡ",31802,216,218,"ⓚ대망 216화","ⓚ대망 218화",3
44,"치우蚩尤 팀",32182,219,222,"ⓚ대망 219화","ⓚ대망 222화",4
45,"준비",32669,223,227,"ⓚ대망 223화","ⓚ대망 227화",5
46,"다이아몬드 광산",33338,228,232,"ⓚ대망 228화","ⓚ대망 232화",5
47,"수성",34188,233,237,"ⓚ대망 233화","ⓚ대망 237화",5
48,"보헤멘",34887,238,241,"ⓚ대망 238화","ⓚ대망 241화",4
49,"암습",35480,242,246,"ⓚ대망 242화","ⓚ대망 246화",5
50,"지옥Ⅰ",36179,247,252,"ⓚ대망 247화","ⓚ대망 252화",6
51,"지옥Ⅱ",37060,253,258,"ⓚ대망 253화","ⓚ대망 258화",6
52,"복수",37876,259,263,"ⓚ대망 259화","ⓚ대망 263화",5
53,"피로 물든 워털루 브리지",38523,264,268,"ⓚ대망 264화","ⓚ대망 268화",5
54,"더러운 거래",39231,269,271,"ⓚ대망 269화","ⓚ대망 271화",3
55,"진실과 거짓",39631,272,277,"ⓚ대망 272화","ⓚ대망 277화",6
56,"정소현",40395,278,281,"ⓚ대망 278화","ⓚ대망 281화",4
57,"뭄바이",40964,282,290,"ⓚ대망 282화","ⓚ대망 290화",9
58,"사랑이 찾아올 때",42013,291,297,"ⓚ대망 291화","ⓚ대망 297화",7
59,"내가 원래 좀 뒤끝이 있어Ⅰ",43052,298,303,"ⓚ대망 298화","ⓚ대망 303화",6
60,"내가 원래 좀 뒤끝이 있어Ⅱ",43920,304,309,"ⓚ대망 304화","ⓚ대망 309화",6
61,"동결 자금",44872,310,314,"ⓚ대망 310화","ⓚ대망 314화",5
62,"협상",45614,315,319,"ⓚ대망 315화","ⓚ대망 319화",5
63,"죽음은 언제나 내 옆에 있다",46277,320,323,"ⓚ대망 320화","ⓚ대망 323화",4
64,"모두에게 좋은 일",46812,324,332,"ⓚ대망 324화","ⓚ대망 332화",9
65,"무엇보다 소중한 것Ⅰ",47982,333,337,"ⓚ대망 333화","ⓚ대망 337화",5
66,"무엇보다 소중한 것Ⅱ",48692,338,342,"ⓚ대망 338화","ⓚ대망 342화",5
67,"샤레프Ⅰ",49409,343,348,"ⓚ대망 343화","ⓚ대망 348화",6
68,"샤레프Ⅱ",50270,349,353,"ⓚ대망 349화","ⓚ대망 353화",5
69,"이들리브",50988,354,359,"ⓚ대망 354화","ⓚ대망 359화",6
70,"유물",51810,360,369,"ⓚ대망 360화","ⓚ대망 369화",10
71,"탈출",53142,370,373,"ⓚ대망 370화","ⓚ대망 373화",4
72,"지, 질투라니",53703,374,379,"ⓚ대망 374화","ⓚ대망 379화",6
73,"사랑싸움은 칼로 물 베기",54542,380,384,"ⓚ대망 380화","ⓚ대망 384화",5
74,"미리내",55228,385,389,"ⓚ대망 385화","ⓚ대망 389화",5
75,"당한 만큼 받아 낸다",55952,390,394,"ⓚ대망 390화","ⓚ대망 394화",5
76,"드라마 오디션",56659,395,398,"ⓚ대망 395화","ⓚ대망 398화",4
77,"드러나는 존재감",57282,399,404,"ⓚ대망 399화","ⓚ대망 404화",6
78,"인수",58134,405,408,"ⓚ대망 405화","ⓚ대망 408화",4
79,"올림픽파",58723,409,415,"ⓚ대망 409화","ⓚ대망 415화",7
80,"시기猜忌",59756,416,420,"ⓚ대망 416화","ⓚ대망 420화",5
81,"불타는 트리폴리Ⅰ",60454,421,423,"ⓚ대망 421화","ⓚ대망 423화",3
82,"불타는 트리폴리Ⅱ",60870,424,429,"ⓚ대망 424화","ⓚ대망 429화",6
83,"원유 거래",61692,430,434,"ⓚ대망 430화","ⓚ대망 434화",5
84,"뭐야, 이건 또?",62391,435,448,"ⓚ대망 435화","ⓚ대망 448화",14
85,"용산 드림 타워Ⅰ",64324,449,454,"ⓚ대망 449화","ⓚ대망 454화",6
86,"용산 드림 타워Ⅱ",65169,455,460,"ⓚ대망 455화","ⓚ대망 460화",6
87,"탈취",66075,461,465,"ⓚ대망 461화","ⓚ대망 465화",5
88,"오빠가 사장님이었어?",66788,466,473,"ⓚ대망 466화","ⓚ대망 473화",8
89,"사거리파",67943,474,480,"ⓚ대망 474화","ⓚ대망 480화",7
90,"제대로 해 보자",69044,481,488,"ⓚ대망 481화","ⓚ대망 488화",8
91,"제안",70254,489,496,"ⓚ대망 489화","ⓚ대망 496화",8
92,"편성 확정",71378,497,499,"ⓚ대망 497화","ⓚ대망 499화",3
93,"미리내 브랜드 론칭",71793,500,502,"ⓚ대망 500화","ⓚ대망 502화",3
94,"설득",72192,503,509,"ⓚ대망 503화","ⓚ대망 509화",7
95,"아주 지랄을 하는군",73125,510,515,"ⓚ대망 510화","ⓚ대망 515화",6
96,"드라마 제작",73961,516,530,"ⓚ대망 516화","ⓚ대망 530화",15
97,"파블로프 조직",75877,531,535,"ⓚ대망 531화","ⓚ대망 535화",5
98,"이제 내 차례지",76553,536,541,"ⓚ대망 536화","ⓚ대망 541화",6
99,"목표는 크게",77395,542,550,"ⓚ대망 542화","ⓚ대망 550화",9
100,"함부로 들이대다가 뒈진다Ⅰ",78583,551,562,"ⓚ대망 551화","ⓚ대망 562화",12
101,"백수광",80239,563,567,"ⓚ대망 563화","ⓚ대망 567화",5
102,"121부대",80866,568,575,"ⓚ대망 568화","ⓚ대망 575화",8
103,"모사드",81939,576,581,"ⓚ대망 576화","ⓚ대망 581화",6
104,"아기오스 토마스Agios Thomas",82716,582,584,"ⓚ대망 582화","ⓚ대망 584화",3
105,"납치",83106,585,589,"ⓚ대망 585화","ⓚ대망 589화",5
106,"대체 투입",83803,590,593,"ⓚ대망 590화","ⓚ대망 593화",4
107,"예멘Ⅰ",84399,594,600,"ⓚ대망 594화","ⓚ대망 600화",7
108,"예멘Ⅰ",85266,601,605,"ⓚ대망 601화","ⓚ대망 605화",5
109,"인터내셔널 미디어 네트워크",85900,606,613,"ⓚ대망 606화","ⓚ대망 613화",8
110,"흥행 돌풍",86996,614,616,"ⓚ대망 614화","ⓚ대망 616화",3
